flight_number,launch_year,latitude,longitude,payload_mass_kg,landing_success,landing_type,reused,number_of_cores,number_of_payloads,rocket_name_Falcon Heavy,launch_site_KSC LC 39A,launch_site_VAFB SLC 4E,orbit_GEO,orbit_GTO,orbit_HCO,orbit_HEO,orbit_ISS,orbit_LEO,orbit_MEO,"orbit_MEO,LEO",orbit_PO,orbit_SSO,orbit_TLI,orbit_VLEO,"orbit_VLEO,LEO","orbit_VLEO,SSO"
171,2022,28.5618571,-80.577366,13260.0,1,ASDS,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
172,2022,34.632093,-120.610829,13260.0,1,ASDS,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
173,2022,28.6080585,-80.6039558,0.0,1,ASDS,1,1,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
174,2022,28.5618571,-80.577366,13260.0,1,ASDS,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
175,2022,34.632093,-120.610829,13260.0,1,ASDS,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
176,2022,28.5618571,-80.577366,13260.0,1,ASDS,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
177,2022,28.5618571,-80.577366,678.0,1,ASDS,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
178,2022,28.6080585,-80.6039558,13260.0,1,ASDS,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
179,2022,34.632093,-120.610829,13260.0,1,ASDS,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
180,2022,28.5618571,-80.577366,13260.0,1,ASDS,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
181,2022,28.6080585,-80.6039558,13260.0,1,ASDS,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
182,2022,34.632093,-120.610829,13260.0,1,ASDS,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
183,2022,28.5618571,-80.577366,13440.0,1,ASDS,1,1,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
184,2022,28.6080585,-80.6039558,14760.0,1,ASDS,1,1,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
185,2022,28.5618571,-80.577366,13260.0,1,ASDS,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
186,2022,28.5618571,-80.577366,13260.0,1,ASDS,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
187,2022,28.6080585,-80.6039558,0.0,1,ASDS,0,1,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
